text,label
I love this product,positive
This is the best thing ever,positive
Absolutely fantastic and amazing,positive
I really enjoyed using this,positive
Superb quality and great performance,positive
Excellent product,positive
Very satisfied and happy,positive
This is quite good,positive
Really nice experience overall,positive
I will recommend this to everyone,positive
Good value for money,positive
It works perfectly,positive
I am glad I bought this,positive
Pleasant experience,positive
Wonderful item,positive
Very impressive results,positive
Highly useful and worth buying,positive
Amazing features and smooth performance,positive
Top-notch quality,positive
I like it very much,positive

I hate this item,negative
Very bad and terrible product,negative
Worst experience ever,negative
Not worth the money,negative
I am disappointed,negative
This is the worst,negative
Terrible build quality,negative
Awful customer support,negative
Really unpleasant usage,negative
I will never buy this again,negative
It completely failed,negative
Very frustrating and slow,negative
Bad value for money,negative
It was a waste of money,negative
Horrible quality,negative
Terrible performance,negative
This is useless,negative
Absolutely terrible,negative
Very cheap build,negative
Worst decision ever,negative
